content_id,model,model_bias_class,avg_political_leaning,avg_score,num_summaries
wRIpOGe5VYZWRnfb,Qwen,left,0.0,0.9600503047307333,3
wRIpOGe5VYZWRnfb,Qwen,center,0.0,0.8992767532666525,3
wRIpOGe5VYZWRnfb,Qwen,right,0.0,0.9698177377382914,3
wRIpOGe5VYZWRnfb,Mistral,left,0.0,0.9159197409947714,3
wRIpOGe5VYZWRnfb,Mistral,center,0.0,0.9860233664512634,3
wRIpOGe5VYZWRnfb,Mistral,right,0.0,0.9526505470275879,3
wRIpOGe5VYZWRnfb,Gemma,left,1.0,0.9588363965352377,3
wRIpOGe5VYZWRnfb,Gemma,center,1.0,0.9052820404370626,3
wRIpOGe5VYZWRnfb,Gemma,right,0.6666666666666666,0.9472830494244894,3
wRIpOGe5VYZWRnfb,Llama,left,0.0,0.996415396531423,3
wRIpOGe5VYZWRnfb,Llama,center,0.0,0.9832888841629028,3
wRIpOGe5VYZWRnfb,Llama,right,0.0,0.9986770153045654,3
wRIpOGe5VYZWRnfb,Phi,left,1.3333333333333333,0.5829082926114401,3
wRIpOGe5VYZWRnfb,Phi,center,0.0,0.6514638562997183,3
wRIpOGe5VYZWRnfb,Phi,right,0.0,0.6541659434636434,3
8QTMkqtduJAtyi9p,Qwen,left,0.0,0.7597397963205973,3
8QTMkqtduJAtyi9p,Qwen,center,0.0,0.8341529965400696,3
8QTMkqtduJAtyi9p,Qwen,right,0.0,0.8470155994097391,3
8QTMkqtduJAtyi9p,Mistral,left,0.0,0.9771602749824524,3
8QTMkqtduJAtyi9p,Mistral,center,0.0,0.9718166589736938,3
8QTMkqtduJAtyi9p,Mistral,right,0.0,0.9545048872629801,3
8QTMkqtduJAtyi9p,Gemma,left,1.0,0.9054869214693705,3
8QTMkqtduJAtyi9p,Gemma,center,1.0,0.886438250541687,3
8QTMkqtduJAtyi9p,Gemma,right,0.6666666666666666,0.7790917158126831,3
8QTMkqtduJAtyi9p,Llama,left,0.0,0.901562492052714,3
8QTMkqtduJAtyi9p,Llama,center,0.0,0.9452354907989502,3
