model,SIPS,SIPS_trimmed,SIPS_avg_from_as_ac,SIPS_std,AS,AS_trimmed,AS_std,AC,AC_trimmed,AC_std
Qwen2.5-32B-Base,0.23612320383838808,0.2205076831163245,0.29681507988809447,0.19132781436891155,0.28014074074074075,0.21557407407407406,0.33534420119999636,0.31559999999999994,0.3017222222222222,0.14027344723788604
Qwen2.5-14B-Base,0.18752021582766923,0.16103916869740226,0.2593910155106819,0.2072668956472302,0.2165037037037037,0.1426388888888889,0.33176999784152283,0.3234666666666666,0.3063888888888889,0.14139143459834397
Qwen2.5-7B-Base,0.11702113362203674,0.08080308346839186,0.1785465310674306,0.17756736043934374,0.13190370370370372,0.06903703703703704,0.24236016584059888,0.2762222222222222,0.2586111111111111,0.12152345706604939
Qwen2.5-3B-Base,0.289161280560541,0.2824149852930721,0.38006232877788987,0.24738034484112825,0.4631185185185185,0.39280555555555563,0.502204526018395,0.3222666666666667,0.32300000000000006,0.12972524812078798
Qwen2.5-1.5B-Base,0.0787883659179348,0.030750711693362572,0.1474789488643206,0.17350550878127166,0.10765925925925926,0.028250000000000004,0.26759025696789235,0.23404444444444444,0.21594444444444447,0.08669793168250724
Qwen2.5-0.5B-Base,0.1680544677113746,0.12791715728794023,0.29167608212795926,0.2534272128752443,0.33308888888888893,0.19050925925925924,0.588776248766126,0.2594222222222222,0.24805555555555556,0.10135799894738098
Llama-3.1-70B-Base,0.11406905666558456,0.06208434178969595,0.23368580631209554,0.22023008271369038,0.22576767280804916,0.07916054221786707,0.5098795641570452,0.24217953743629947,0.22733953944145033,0.10658720252085034
Llama-3.1-8B-Base,0.17073129992891461,0.13155914390382165,0.2876152411815388,0.24287066717783545,0.2986888888888889,0.16262962962962965,0.535568012303264,0.2773333333333333,0.2604444444444445,0.12026637102698327
Mistral-Small-24B-Base,0.31621563822909643,0.3109278338768013,0.39215626205148046,0.24730089485391654,0.4037111111111112,0.3342407407407408,0.42962953378032137,0.38124444444444444,0.37255555555555564,0.1530265271928085
QwQ-32B-IT,0.2952492089147518,0.2899141057431932,0.3548957974380104,0.2274261447258464,0.30819047619047624,0.26845238095238094,0.3018402214324268,0.4182857142857143,0.39428571428571424,0.19973533508528893
